,Date Conducted,27/05/2014,27/05/2014,06/06/2014,11/06/2014,11/06/2014,20/06/2014,01/07/2014,28/07/2014,21/08/2014,27/08/2014,28/08/2014,05/09/2014,15/09/2014,16/09/2014
Stachys byzantina,Lamb's-ear,,,,100,,,,,,,,,,
Lavandula stoechus,French Lavendar,,,,10,,,100,,,,,,,
Trifolium campestre,Lesser Trefoil,1000,100,,100,,,,10,100,1,,,,
Agapanthus spp.,Lily of the Nile,,,,10,,,100,,,,,,,
Liliaceae spp.,Lily spp.,,,,10,,,,,,,,,,
Lychnis spp.,Lychnis spp.,,,,100,,,,,,,,,,
Lathyrus palustris,Marsh Pea,,,,10,,,,,,,,,,
Valeriana dioica,Marsh Valerian,,,,100,,,,,,,,,,
Ranunculus acris,Meadow Buttercup,,,100,,,,,,,,,,,
Philadelphus spp.,Mock Orange,,,,10,,,,,,,,,,
Silene acaulis,Moss Campion,,,,10,,,,,,,,,,
Malva moschata,Musk-mallow,,,,100,,,,,,,,,,
Tropaeolum spp.,Nastertium,,,,1,,,,,,,,,,
Lapsana communis,Nipplewort,,,,100,,,,,,,,,,
Leucanthemum vulgare (Chrysanthemum leucanthemum),Oxeye Daisy,,,1000,100,,,,,,,,1,,
Linum bienne,Pale Flax,,,,,,,,,,,,,,
Pelargonium spp.,Pelargonium spp.,,,,100,,,,,,,,,,
Geranium versicolor,Pencilled Crane's-bill,,,,,,,,,,,,,,
Penstemon spp.,Penstemon spp.,,,,1000,,,,,,,,,,
Hypericum perforatum,Perforated St John's-wort,,,,,,,,,1,,,,1,
Punica granatum,Pomegranite,,,,,,,,,,,,,,
Sonchus asper,Prickly Sow-thistle,,,,10,,,,,,1,,1,,
Lithospermum purpureocaeruleum,Purple Groomwell,,,,1,,,,,,,,,,
Verbena bonariensis,Purple top,,,,100,,,,,,,,,,
Trifolium pratense,Red Clover,,,100,10,,,,,,1,1,,,
Lamium purpureum,Red Dead-nettle,,,,,,,,,,,,,,
Centranthus ruber,Red Valerian,,,,10,1,,,,,,,,,
Centranthus ruber,Red Valerian (White),,,,1,,,,,,,,,,
Sedum rupestre,Reflexed Stonecrop,,10,,,1,,,,,,,,,
Melilotus officinalis,Ribbed Melilot,,,10,100,,,,,,,,,,
Plantego lanceolata,Ribwort Plantain,,,100,1,,,,,,,,10,,
Rosa moyesii geranium,"Rosa ""Geranium"" cultivar",,,,10,,,,,,,,,,
Luchnis coronaria,Rose Campion,10,100,10,10,,,,,,,,,,
Sedum rosea,Roseroot,,,,10,,,,,,,,,,
Salvia spp.,Salvia spp.,,,,10,,,,,,,,,,
Silene uniflora,Sea Campion,,,,1000,,,,,,,,,,
Hypochaeris glabra,Smooth cat's ear,100,10,10,10,,,,,,,,,,
Medicago sativa,Spotted Medick,,,,10,,,,,,,,,,
Centaurea triumfettii,Squarrose Knapweed,,,,10,,,,,,,,,,
Lychnis viscaria,Sticky Catchfly,,,,1,,,,,,,,,,
Hypericum spp.,St-John's wort spp.,,,,10,,,,,,,,,,
Dianthus barbatus,Sweet William,,,,100,,,,,,,,,,
Linaria spp.,Toadflax cult.,,,,1,,,,,,,,,,
Nicotiana spp.,Tobacco plant,,,,,,,,,,,,,,
Lavatera arborea,Tree-mallow,,,,10,,,,,,,,,,
Myosotis laxa (M. caespitosa),Tufted Forget-me-not,,,10,100,,,,,,,,1,,
Vicia cracca,Tufted Vetch,,,,100,,,,,,,,,,
Phlomis russeliana,Turkish Sage,,,,10,,,,,,,,,,
Verbascum spp.,Verbascum spp.,,,,10,,,,,,,,,,
Echium vulgare,Viper's-bugloss,,,,10,,,,1,10,,,,,
Rosa spp.,White wings,,,,,,,,,,,,,,
Origanum vulgare,Wild Marjoram,,,,,,,,10,10,,,,,
Daucus carota,Wild Carrot,,,,,,,,,,,,10,,
Geum urbanum,Wood avens/Herb Bennett,,,,,,,,,,,,,,
Geranium sylvaticum,Wood Crane's-bill,,,,,,,,,,,,,,
Cirsium eriophorum,Woolly thistle,,,10,,,,,,,,,,,
Achillea millefolium,Yarrow,,1,10,,,,,,,1,,,,
Potentilla spp.,Cinquefoil spp.,,,,,,,100,,,,,,,
Osteospermum spp. (yellow),,,,,,,,10,,,,,,,
Verbena spp.,Vervian,,,1,,,,100,,,,,,,
Osteospermum spp. (white),,,,,,,,1,,,,,,,
Anthemis tinctoria,Yellow Chamomile,,,,,,,,1,,,1,,,
Petrorhagia saxifraga,Tunic Flower,,,,,,,,10,,,1000,,,
Dianthus carthusianorum,Carthusian Pink,,,,,,,,10,,,,,,
Inula crithmoides,Golden samphire,,,,,,,,,100,,,,,
Geranium dissectum,Cut-leaved Crane's-bill,,,,,,,,,10,,,,,
Sisymbrium orientale,Eastern Rocket,,,,,,,,,100,,,,,
Sedum spp.,Sedum spp. Flowering,,,,,,,,,10,,,,,
Solanum nigrum,Black Nightshade,,,,,,,,,1,10,,,,
Anthyllis vulneraria,Kidney Vetch,,,,,,,,,10,,,,,
Carduus crispus,Welted Thistle,,,,,,,,,10,,,,,
Campanula rotundifolia,Harebell,,10,,,,,,,1,,,,,
Chenopodium album,Fat-hen,,,,,,,,,10,,,,10,
Epilobium hirsutum,Great Willowherb,,,,,,,,,10,,,,,
Chamerion angustifolium,Rosebay Willowherb,,,,,,,,,10,,,,,
Sedum kamtschaticum ,Kamchatka Stonecrop,100,,,,,,,,1,,,,,
Leontodon autumnalis,Autumn Hawkbit,,,,,,,,,,1,,,,
Sonchus oleraceus,Smooth Sow-thistle,,,,,,10,,,,1,,10,,
Rumex acetosella,Common Sorrel,,,,,,,,,,10,,,,
Polygonum aviculare,Knotgrass,,,,,,,,,,10,,,,
Trifolium repens,White Clover,,,,,,,,,,,1,,,
Calendula cult.,Calendula (orange),,,,,,,,,,,,10,,
Calendula cult.,Calendula (yellow),,,,,,,,,,,,10,,
Allium ursinum,Ramsons,,,,,,,,,,,,10,,
Persicaria maculosa,Redshank,,,,,,,,,,,,100,10,
Dianthus spp.,Pink spp.,,,,,,,,,,,,1,,
Tagetes cult.,Marigold cult.,,,,,,,,,,,,1,,
Leontodon hispidus,Rough Hawkbit,,,,,,,,,,,,,10,
Senecio vulgaris,Groundsel,,,,,,,,,,,,,10,
Dianthus cult.,Dianthus cultivar,,,,,,,,,,,,1,,
Sedum telephium,Orpine,,,,,,1,,,,,,,,
Veronica serpyllifolia,Thyme-leaved Speedwell,,,,,,10,,,,,,,,
Dianthus sp.,Campion sp.,100,1,,,,,,,,,,,,
Myosotis scorpioides,Early Forget-me-not,,10,,,,,,,,,,,,
Vicia sp.,Vetch sp.,,10,,,,,,,,,,,,
Nemesia sp.,Nemesia sp.,,,,,,,,,,,,,,1
Trees,,,,,,,,,,,,,,,
Acca sellowiana,Pineapple Guava,,,,1,,,,,,,,,,
Aesculus indica,Indian Horse Chestnut,,,,1,,,,,,,,,,
Buddleja spp.,Buddleia spp.,,,,1,,,,,5,,,,,
Rosa glauca,Rose tree,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,
Flowering species,,8,12,21,102,7,7,8,14,25,10,,,,
